N,P,K,Temperature,Humidity,pH,Rainfall,Leaf Color,Fertility Score (%),Interpretation,Fertilizer Recommendation,Crop Recommendation
102,0,13,28.5,22.34,4.19,190.79,Dark Green,37.98,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
92,116,8,33.9,58.18,4.06,116.45,Light Yellowish Green,80.14,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
14,53,39,24.45,29.37,8.96,202.24,Light Yellowish Green,39.21,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
106,117,193,13.52,11.09,7.52,77.97,Very Dark Green,75.08,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
71,2,24,13.76,31.71,8.48,103.56,Light Yellowish Green,12.55,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
20,11,102,30.57,97.83,8.77,275.25,Light Yellowish Green,77.28,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
102,73,21,22.91,82.14,6.93,87.15,Light Yellowish Green,23.69,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
121,15,3,16.02,96.36,6.6,141,Dark Green,67.74,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
74,101,153,24.75,53.91,6.08,267.04,Very Dark Green,56.58,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
87,116,185,11.93,19.88,5.4,212.32,Light Yellowish Green,92.91,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
116,7,28,27.46,59.32,6.11,18.66,Light Yellowish Green,38.73,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
99,121,108,18.07,50.89,8.14,44.19,Dark Green,6.62,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
103,91,97,33.93,85.99,7.11,2.35,Very Dark Green,1.92,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
130,89,36,19.31,18.83,8.86,189.28,Green,82.69,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
52,135,74,23.66,53.94,6.16,134.3,Dark Green,52.47,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
1,59,69,10.35,23.5,7.14,40.28,Very Dark Green,77.52,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
87,27,145,12.17,39.22,7.29,287.38,Light Yellowish Green,23.44,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
37,100,127,21.77,76.36,7.05,158.9,Very Dark Green,34.51,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
129,40,84,24.4,52.84,7.72,72.57,Very Dark Green,3.01,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
20,45,41,28,43.83,4.92,150.18,Very Dark Green,96.15,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
57,34,99,18.75,45.5,6.57,203.89,Green,66.79,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
21,133,40,30.85,51.35,4.13,22.87,Very Dark Green,93.32,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
88,81,165,35.8,80.65,5.81,82.41,Green,26.55,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
